26.1104 	EXP 	window1: blendMode = 'avg'
26.1271 	EXP 	window1: blendMode = 'avg'
26.1438 	EXP 	window1: blendMode = 'avg'
26.1604 	EXP 	window1: blendMode = 'avg'
26.1770 	EXP 	window1: blendMode = 'avg'
26.1937 	EXP 	window1: blendMode = 'avg'
26.2105 	EXP 	window1: blendMode = 'avg'
26.2272 	EXP 	window1: blendMode = 'avg'
26.2437 	EXP 	window1: blendMode = 'avg'
26.2604 	EXP 	window1: blendMode = 'avg'
26.2770 	EXP 	window1: blendMode = 'avg'
26.2937 	EXP 	window1: blendMode = 'avg'
26.3103 	EXP 	window1: blendMode = 'avg'
26.3270 	EXP 	window1: blendMode = 'avg'
26.3437 	EXP 	window1: blendMode = 'avg'
26.3603 	EXP 	window1: blendMode = 'avg'
26.3770 	EXP 	window1: blendMode = 'avg'
26.3937 	EXP 	window1: blendMode = 'avg'
26.4104 	EXP 	window1: blendMode = 'avg'
26.4270 	EXP 	window1: blendMode = 'avg'
26.4436 	EXP 	window1: blendMode = 'avg'
26.4603 	EXP 	window1: blendMode = 'avg'
